6.839,4.317,0.575,2.998,0.976,0.014,0.797,1.074,0.202,
0.262,0.153,0.009,0.408,0.073,0.0,0.145,0.123,0.008,
0.357,1.783,0.43,0.411,0.811,0.034,0.243,1.524,0.341,
0.356,4.117,0.988,0.305,1.268,0.116,0.098,0.7,0.342,
0.691,0.706,0.076,0.881,0.439,0.011,0.215,0.353,0.039,
2.444,2.002,0.196,2.356,0.957,0.025,1.52,3.315,0.978,
0.255,0.532,0.083,0.241,0.341,0.01,0.11,0.269,0.05,
1.968,1.365,0.112,3.323,1.241,0.041,0.562,0.686,0.1,
0.154,2.27,0.569,0.156,1.002,0.085,0.035,0.765,0.267,
3.243,3.074,0.294,2.586,1.171,0.047,0.619,1.176,0.133,
0.587,0.787,0.031,0.406,0.261,0.008,0.122,0.257,0.066,
0.423,0.981,0.237,0.327,0.525,0.03,0.229,0.779,0.229,
0.459,1.109,0.286,0.288,0.443,0.048,0.58,1.595,0.387,
0.248,0.98,0.148,0.13,0.388,0.024,0.061,0.253,0.068,
0.187,2.023,0.263,0.102,0.851,0.025,0.058,0.723,0.123,
1.133,1.666,0.295,0.918,0.841,0.044,0.343,1.462,0.189,
0.994,1.479,0.187,1.277,1.467,0.059,0.462,1.479,0.199,
2.692,1.763,0.189,5.147,2.103,0.044,0.716,1.095,0.131,
0.112,0.281,0.037,0.077,0.133,0.006,0.013,0.086,0.003,
0.361,0.75,0.08,0.363,0.677,0.014,0.121,0.339,0.052,
