0.638,0.389,0.062,0.373,0.145,0.008,0.193,0.249,0.07,0.815,0.777,0.123,0.18,0.145,0.005,0.239,0.349,0.107,1.134,1.429,0.292,0.316,0.15,0.005,0.418,0.74,0.273,5.574,4.853,0.909,1.807,0.732,0.038,1.668,2.694,0.847,4.059,3.107,0.418,2.517,0.794,0.027,0.944,1.421,0.391,
0.086,0.051,0.003,0.099,0.043,0.0,0.067,0.056,0.013,0.048,0.016,0.0,0.029,0.016,0.0,0.048,0.046,0.003,0.123,0.062,0.0,0.078,0.035,0.0,0.115,0.107,0.005,0.413,0.284,0.019,0.442,0.164,0.0,0.426,0.405,0.019,0.343,0.121,0.003,0.485,0.142,0.0,0.206,0.255,0.027,
0.051,0.185,0.048,0.056,0.088,0.005,0.115,0.306,0.11,0.07,0.568,0.11,0.083,0.22,0.011,0.08,0.751,0.161,0.075,0.405,0.177,0.083,0.129,0.005,0.08,0.764,0.198,0.34,1.984,0.678,0.391,0.799,0.056,0.579,3.643,1.121,0.193,1.04,0.346,0.255,0.59,0.024,0.319,1.973,0.515,
0.035,0.362,0.086,0.035,0.083,0.003,0.027,0.169,0.051,0.102,0.928,0.115,0.056,0.34,0.008,0.038,0.349,0.105,0.043,0.483,0.196,0.008,0.113,0.005,0.029,0.282,0.147,0.284,2.74,0.745,0.249,0.71,0.088,0.201,1.488,0.764,0.155,1.233,0.279,0.153,0.582,0.035,0.088,0.676,0.359,
0.158,0.161,0.024,0.102,0.059,0.0,0.059,0.094,0.008,0.07,0.123,0.005,0.056,0.067,0.003,0.051,0.11,0.008,0.097,0.131,0.003,0.067,0.08,0.003,0.059,0.129,0.008,0.48,0.434,0.051,0.614,0.413,0.011,0.394,0.651,0.142,0.421,0.362,0.038,0.614,0.236,0.005,0.214,0.346,0.067,
0.29,0.193,0.021,0.485,0.206,0.0,0.461,0.928,0.255,0.263,0.287,0.024,0.193,0.102,0.005,0.359,1.075,0.399,0.383,0.442,0.054,0.319,0.188,0.011,0.678,1.66,0.515,2.488,1.922,0.204,1.614,0.761,0.027,2.735,6.04,1.761,1.563,1.121,0.129,1.874,0.657,0.011,1.525,3.44,1.314,
0.038,0.15,0.021,0.035,0.067,0.011,0.043,0.145,0.019,0.027,0.099,0.008,0.011,0.038,0.003,0.035,0.121,0.029,0.032,0.147,0.027,0.051,0.059,0.0,0.056,0.19,0.038,0.19,0.491,0.105,0.196,0.343,0.011,0.196,0.748,0.18,0.105,0.34,0.051,0.145,0.201,0.005,0.134,0.448,0.105,
0.223,0.126,0.008,0.29,0.134,0.0,0.113,0.129,0.038,0.139,0.102,0.011,0.11,0.083,0.0,0.091,0.113,0.013,0.327,0.335,0.032,0.249,0.217,0.0,0.209,0.271,0.032,2.038,1.517,0.153,2.386,0.879,0.021,0.96,1.233,0.196,1.054,0.702,0.035,2.804,1.0,0.008,0.568,0.651,0.102,
0.019,0.233,0.11,0.016,0.145,0.013,0.013,0.209,0.097,0.011,0.147,0.048,0.0,0.067,0.005,0.005,0.099,0.062,0.032,0.665,0.209,0.035,0.375,0.024,0.005,0.544,0.206,0.147,1.523,0.609,0.099,0.807,0.11,0.113,1.204,0.777,0.04,0.56,0.19,0.072,0.517,0.04,0.024,0.517,0.332,
0.472,0.332,0.048,0.282,0.088,0.003,0.131,0.193,0.035,0.244,0.241,0.019,0.102,0.075,0.005,0.105,0.214,0.035,0.515,0.475,0.054,0.217,0.145,0.008,0.241,0.365,0.067,3.22,2.839,0.34,1.89,0.89,0.056,1.292,2.056,0.386,1.724,1.287,0.139,2.185,0.748,0.021,0.617,1.013,0.158,
