1.464,0.731,0.115,0.593,0.192,0.003,0.394,0.635,0.112,1.747,1.391,0.297,0.262,0.082,0.0,0.634,0.593,0.122,1.747,1.391,0.297,0.262,0.082,0.0,0.634,0.593,0.122,2.194,2.913,0.682,0.461,0.168,0.002,0.759,1.339,0.262,2.194,2.913,0.682,0.461,0.168,0.002,0.759,1.339,0.262,11.382,10.885,1.812,2.789,0.878,0.017,4.105,5.677,1.094,11.382,10.885,1.812,2.789,0.878,0.017,4.105,5.677,1.094,8.976,6.077,0.817,4.78,0.841,0.037,1.51,2.613,0.642,8.976,6.077,0.817,4.78,0.841,0.037,1.51,2.613,0.642,
0.187,0.054,0.003,0.134,0.023,0.0,0.065,0.049,0.002,0.096,0.033,0.002,0.059,0.033,0.0,0.129,0.037,0.002,0.096,0.033,0.002,0.059,0.033,0.0,0.129,0.037,0.002,0.194,0.061,0.014,0.129,0.023,0.0,0.271,0.133,0.002,0.194,0.061,0.014,0.129,0.023,0.0,0.271,0.133,0.002,1.028,0.344,0.04,0.887,0.147,0.0,0.735,0.51,0.021,1.028,0.344,0.04,0.887,0.147,0.0,0.735,0.51,0.021,0.728,0.194,0.009,1.051,0.119,0.005,0.382,0.229,0.007,0.728,0.194,0.009,1.051,0.119,0.005,0.382,0.229,0.007,
0.072,0.326,0.099,0.075,0.077,0.002,0.143,0.478,0.098,0.161,1.075,0.194,0.094,0.253,0.005,0.209,1.349,0.222,0.161,1.075,0.194,0.094,0.253,0.005,0.209,1.349,0.222,0.124,0.806,0.291,0.04,0.091,0.002,0.11,1.213,0.274,0.124,0.806,0.291,0.04,0.091,0.002,0.11,1.213,0.274,0.82,3.836,1.234,0.545,0.921,0.042,0.93,6.183,1.457,0.82,3.836,1.234,0.545,0.921,0.042,0.93,6.183,1.457,0.452,2.002,0.614,0.48,0.736,0.028,0.665,3.976,0.712,0.452,2.002,0.614,0.48,0.736,0.028,0.665,3.976,0.712,
0.073,0.654,0.162,0.065,0.096,0.003,0.084,0.386,0.079,0.178,2.031,0.373,0.082,0.361,0.01,0.058,0.569,0.141,0.178,2.031,0.373,0.082,0.361,0.01,0.058,0.569,0.141,0.075,1.101,0.366,0.038,0.096,0.003,0.052,0.459,0.204,0.075,1.101,0.366,0.038,0.096,0.003,0.052,0.459,0.204,0.527,5.569,1.754,0.297,0.688,0.051,0.295,2.4,0.988,0.527,5.569,1.754,0.297,0.688,0.051,0.295,2.4,0.988,0.316,2.674,0.709,0.202,0.576,0.023,0.101,1.173,0.403,0.316,2.674,0.709,0.202,0.576,0.023,0.101,1.173,0.403,
0.34,0.384,0.016,0.19,0.084,0.0,0.117,0.161,0.01,0.164,0.283,0.007,0.072,0.044,0.0,0.103,0.211,0.014,0.164,0.283,0.007,0.072,0.044,0.0,0.103,0.211,0.014,0.234,0.274,0.023,0.11,0.07,0.0,0.11,0.232,0.016,0.234,0.274,0.023,0.11,0.07,0.0,0.11,0.232,0.016,1.073,1.14,0.11,1.023,0.408,0.003,0.712,1.031,0.136,1.073,1.14,0.11,1.023,0.408,0.003,0.712,1.031,0.136,0.876,0.969,0.068,1.162,0.262,0.0,0.36,0.538,0.08,0.876,0.969,0.068,1.162,0.262,0.0,0.36,0.538,0.08,
0.871,0.335,0.045,0.64,0.19,0.0,0.653,1.527,0.326,0.607,0.777,0.061,0.328,0.173,0.0,0.56,1.803,0.75,0.607,0.777,0.061,0.328,0.173,0.0,0.56,1.803,0.75,0.785,0.906,0.082,0.29,0.166,0.007,0.96,3.143,0.604,0.785,0.906,0.082,0.29,0.166,0.007,0.96,3.143,0.604,6.56,4.689,0.41,1.806,0.902,0.01,4.717,13.363,2.504,6.56,4.689,0.41,1.806,0.902,0.01,4.717,13.363,2.504,4.473,2.855,0.229,2.607,0.649,0.002,2.639,7.188,1.995,4.473,2.855,0.229,2.607,0.649,0.002,2.639,7.188,1.995,
0.096,0.277,0.014,0.049,0.075,0.003,0.033,0.169,0.059,0.105,0.251,0.021,0.047,0.068,0.0,0.051,0.211,0.023,0.105,0.251,0.021,0.047,0.068,0.0,0.051,0.211,0.023,0.079,0.248,0.044,0.066,0.08,0.002,0.08,0.262,0.058,0.079,0.248,0.044,0.066,0.08,0.002,0.08,0.262,0.058,0.51,0.853,0.113,0.531,0.503,0.023,0.288,1.127,0.187,0.51,0.853,0.113,0.531,0.503,0.023,0.288,1.127,0.187,0.157,0.524,0.086,0.353,0.354,0.014,0.155,0.654,0.143,0.157,0.524,0.086,0.353,0.354,0.014,0.155,0.654,0.143,
0.454,0.3,0.014,0.496,0.159,0.007,0.15,0.178,0.012,0.225,0.234,0.007,0.222,0.087,0.0,0.131,0.136,0.012,0.225,0.234,0.007,0.222,0.087,0.0,0.131,0.136,0.012,0.684,0.499,0.049,0.558,0.154,0.002,0.375,0.391,0.14,0.684,0.499,0.049,0.558,0.154,0.002,0.375,0.391,0.14,4.405,3.482,0.141,4.747,1.028,0.017,1.928,2.112,0.257,4.405,3.482,0.141,4.747,1.028,0.017,1.928,2.112,0.257,1.808,1.311,0.084,6.373,1.15,0.005,0.89,0.914,0.143,1.808,1.311,0.084,6.373,1.15,0.005,0.89,0.914,0.143,
0.075,0.689,0.169,0.012,0.171,0.007,0.012,0.347,0.082,0.024,0.384,0.051,0.009,0.092,0.005,0.01,0.22,0.04,0.024,0.384,0.051,0.009,0.092,0.005,0.01,0.22,0.04,0.075,1.464,0.424,0.026,0.422,0.014,0.028,1.178,0.269,0.075,1.464,0.424,0.026,0.422,0.014,0.028,1.178,0.269,1.047,3.375,0.965,0.148,0.824,0.065,0.124,2.595,0.885,1.047,3.375,0.965,0.148,0.824,0.065,0.124,2.595,0.885,0.141,1.218,0.276,0.063,0.578,0.024,0.052,1.33,0.382,0.141,1.218,0.276,0.063,0.578,0.024,0.052,1.33,0.382,
1.23,0.642,0.056,0.431,0.094,0.0,0.236,0.288,0.033,0.565,0.576,0.047,0.15,0.072,0.002,0.358,0.419,0.07,0.565,0.576,0.047,0.15,0.072,0.002,0.358,0.419,0.07,0.92,1.009,0.124,0.368,0.154,0.002,0.628,0.78,0.112,0.92,1.009,0.124,0.368,0.154,0.002,0.628,0.78,0.112,6.565,5.942,0.644,3.117,0.827,0.026,2.222,3.536,0.567,6.565,5.942,0.644,3.117,0.827,0.026,2.222,3.536,0.567,3.016,2.428,0.265,4.597,0.846,0.021,0.97,1.759,0.264,3.016,2.428,0.265,4.597,0.846,0.021,0.97,1.759,0.264,
